time,x,y,z,Vx,Vy,Vz
5300.0,4805248.444241563,1611663.113587587,-5221470.350456045,5244.772522513216,2686.738971306767,4656.290630531501
5310.0,4857446.9687610315,1638446.7625731733,-5174638.440881178,5194.8671302164375,2669.95299447841,4709.984180853353
5320.0,4909144.49523041,1665061.4222996116,-5127272.812850956,5144.574254911295,2652.9416656862754,4763.0339341821955
5330.0,4960337.189038564,1691504.8556289438,-5079379.915750606,5093.9019349397995,2635.7082607613916,4815.43762813802
5340.0,5011021.295791877,1717774.858165045,-5030966.220971684,5042.858175218882,2618.2560521072755,4867.193123543283
5350.0,5061193.14097274,1743869.2582154202,-4982038.220688822,4991.450945796232,2600.588307917655,4918.298402666589
5360.0,5110849.129583844,1769785.916745281,-4932602.426654094,4939.688180456614,2582.7082914150487,4968.751567455428
5370.0,5159985.745778794,1795522.7273241137,-4882665.3690091055,4887.577775378136,2564.6192601101147,5018.550837759382
5380.0,5208599.552479533,1821077.6160649434,-4832233.59511489,4835.127587837939,2546.324465081649,5067.694549545178
5390.0,5256687.190981056,1846448.5415565004,-4781313.66839969,4782.345434966731,2527.827150277114,5116.181153104912
5400.0,5304245.380543927,1871633.4947884954,-4729912.167224688,4729.239092551574,2509.1305518335516,5164.00921125875
5410.0,5351270.917975053,1896630.4990702036,-4678035.68376773,4675.816293886329,2490.237897418737,5211.177397553375
5420.0,5397760.677197201,1921437.6099425622,-4625690.822925081,4622.084728669114,2471.152405592404,5257.684494457388
5430.0,5443711.608807718,1946052.915083978,-4572884.201231234,4568.052041946136,2451.8772851873778,5303.529391554865
5440.0,5489120.739626927,1970474.5342100475,-4519622.445796796,4513.725833101228,2432.4157347104174,5348.711083738217
5450.0,5533985.172236635,1994700.6189673804,-4465912.193264438,4459.113654890418,2412.770941762586,5393.228669401472
5460.0,5578302.084509214,2018729.3528217268,-4411760.088782902,4404.223012520834,2392.9460824789417,5437.081348635044
5470.0,5622068.729127689,2042558.950940594,-4357172.784999059,4349.061362773236,2372.9443209873307,5480.268421423054
5480.0,5665282.433097266,2066187.6600705478,-4302156.941067967,4293.636113167462,2352.768808886075,5522.789285844181
5490.0,5707940.597248725,2089613.758409383,-4246719.221680904,4237.954621170055,2332.422684740312,5564.643436277041
5500.0,5750040.6957340995,2112835.5554733505,-4190866.2961113215,4182.024193443341,2311.9090735967634,5605.830461611008
5510.0,5791580.27551505,2135851.391959623,-4134604.837278654,4125.852085135202,2291.2310865166833,5646.350043463392
5520.0,5832556.955844332,2158659.6396041797,-4077941.5208299235,4069.445499208809,2270.391820126739,5686.201954403822
5530.0,5872968.427740767,2181258.701035288,-4020883.0242390637,4012.811585811527,2249.394356187575,5725.386056186691
5540.0,5912812.453458082,2203647.0096227606,-3963436.0259238724,3955.9574416822634,2228.2417611797946,5763.902297992433
5550.0,5952086.865948026,2225823.029323154,-3905607.204380505,3898.890109596465,2206.9370859071005,5801.750714678413
5560.0,5990789.56831811,2247785.2545210877,-3847403.237335407,3841.6165778480076,2185.483365116324,5838.93142504016
5570.0,6028918.533284353,2269532.209866844,-3788830.8009145837,3784.1437797671942,2163.88361713407,5875.444630083641
5580.0,6066471.802619383,2291062.4501104183,-3729896.5688300813,3726.4785932740992,2142.140843519706,5911.290611309232
5590.0,6103447.486596246,2312374.559932177,-3670607.2115835757,3668.627840466473,2120.2580287344113,5946.46972900805
5600.0,6139843.763428265,2333467.153770288,-3610969.3956869273,3610.5982872414374,2098.2381398260113,5980.98242057122
5610.0,6175658.878705278,2354338.875645076,-3550989.78289958,3552.3966429501947,2076.0841261293094,6014.8291988126775
5620.0,6210891.144826588,2374988.398980457,-3490675.0294826594,3494.029560084983,2053.79891898163,6048.010650306037
5630.0,6245538.94043094,2395414.426422603,-3430031.785469632,3435.5036339975004,2031.3854314532914,6080.527433736057
5640.0,6279600.709823835,2415615.6896559866,-3369066.693953374,3376.8254026480363,2008.8465580927161,6112.380278265183
5650.0,6313074.962402485,2435590.9492169474,-3307786.390389495,3318.001346384546,1986.1851746858888,6143.569981915629
5660.0,6345960.272078713,2455338.9943049224,-3246197.5019157673,3259.037887750908,1963.4041380298765,6174.097409967442
5670.0,6378255.2767000655,2474858.6425914834,-3184306.6466874857,3199.9413913236067,1940.5062857201178,6203.963493372949
5680.0,6409958.677469441,2494148.740027312,-3122120.433228604,3140.718163576099,1917.494435951192,6233.169227187974
5690.0,6441069.238363493,2513208.160647252,-3059645.459798473,3081.374452770114,1894.371387330779,6261.71566902018
5700.0,6471585.785550081,2532035.8063735613,-2996888.3137740074,3021.9164488731544,1871.139918706522,6289.603937494881
5710.0,6501507.206805019,2550630.606817501,-2933855.5710471068,2962.3502835014615,1847.8027890055007,6316.835210738617
5720.0,6530832.450928382,2568991.5190793774,-2870553.7954371497,2902.6820298877324,1824.3627370860343,6343.410724880789
5730.0,6559560.52716061,2587117.527547164,-2806989.538118381,2842.9177028728627,1800.8224816015215,6369.331772573619
5740.0,6587690.504598648,2605007.64369382,-2743169.3370620064,2783.063258921013,1777.1847208760382,6394.599701530677
5750.0,6615221.511612345,2622660.9058734244,-2679099.7164928084,2723.1245961572986,1753.4521327914065,6419.215913084193
5760.0,6642152.735261347,2640076.3791162334,-2614787.1863600938,2663.107554427409,1729.627374685457,6443.181860761362
5770.0,6668483.420712686,2657253.15492278,-2550238.241822783,2603.017915378481,1705.713083261203,6466.499048879816
5780.0,6694212.870659288,2674190.351057114,-2485459.3627484473,2542.8614025605457,1681.7118745066523,6489.169031162425
5790.0,6719340.444739591,2690887.1113392953,-2420457.013226102,2482.643681547889,1657.6263436249785,6511.193409371585
5800.0,6743865.558958476,2707342.605437238,-2355237.6410925584,2422.3703600796753,1633.4590649747863,6532.573831963099
5810.0,6767787.685109695,2723556.0286580073,-2289807.677472137,2362.0469882191796,1609.212592020194,6553.311992759765
5820.0,6791106.350199985,2739526.601738666,-2224173.5363295474,2301.6790585310077,1584.8894572904737,6573.409629644776
5830.0,6813821.13587504,2755253.5706367614,-2158341.614035736,2241.2720062756675,1560.492172348982,6592.868523274981
5840.0,6835931.67784751,2770736.2063205494,-2092318.2889464984,2180.8312096208883,1536.0232277711214,6611.690495814096
5850.0,6857437.665327202,2785973.8045590413,-2026109.9209936627,2120.361989869075,1511.4850931310766,6629.877409685883
5860.0,6878338.840453625,2800965.685711961,-1959722.8512886385,2059.869611700313,1486.880216997071,6647.431166347346
5870.0,6898634.997731047,2815711.194519696,-1893163.401738136,1999.3592834303356,1462.2110269348923,6664.353705081947
5880.0,6918325.9834662,2830209.699893324,-1826437.874671852,1938.8361572828849,1437.4799295194405,6680.647001812854
5890.0,6937411.6952087805,2844460.5947047956,-1759552.5524819223,1878.305329675904,1412.6893103540563,6696.3130679362075
5900.0,6955892.081194879,2858463.295577345,-1692513.6972739433,1817.7718415210124,1387.841534097386,6711.353949174378
5910.0,6973767.139793463,2872217.242676209,-1625327.5505293596,1757.2406785357234,1362.9389444975518,6725.771724449188
5920.0,6991036.918956055,2885721.8994997228,-1558000.3327790203,1696.716771567876,1337.9838644333888,6739.56850477505
5930.0,7007701.515669703,2898976.7526708595,-1490538.2432877054,1636.2049969317648,1312.9785959625253,6752.746432171964
5940.0,7023761.0754133705,2911981.3117292887,-1422947.459749421,1575.710176755458,1287.9254203760775,6765.307678598305
5950.0,7039215.79161786,2924735.10892401,-1355234.1379932715,1515.2370793388125,1262.8265982597377,6777.2544449033285
5960.0,7054065.905129361,2937237.6990066306,-1287404.4116997044,1454.7904195216965,1237.6843695610414,6788.588959799309
