time,x,y,z,Vx,Vy,Vz
51590.0,7204096.447753008,3197403.4003990856,1363110.376132239,-824.978574848295,252.75427731983794,6766.0081319716755
51600.0,7195566.151161972,3199806.3638420757,1430716.369827834,-881.0516904085371,227.84327949111136,6755.106173106626
51610.0,7186475.999850293,3201960.365814293,1498210.8153149663,-936.9490355775883,202.96222890877732,6743.698932243449
51620.0,7176827.765968807,3203865.7131371293,1565588.6730339797,-992.6677264745487,178.11259301939248,6731.789061565433
51630.0,7166623.250342825,3205522.727236557,1632844.9299500328,-1048.2049120068868,153.29582532102899,6719.379213795989
51640.0,7155864.282146605,3206931.7440045015,1699974.5995568333,-1103.5577733994012,128.51336553516313,6706.472041867354
51650.0,7144552.718582527,3208093.1136619374,1766972.7218771183,-1158.7235237243185,103.76663977845776,6693.070198600784
51660.0,7132690.444564963,3209007.2006236995,1833834.3634599918,-1213.699407433585,79.05706073528641,6679.176336397767
51670.0,7120279.372408809,3209674.383365023,1900554.6173752288,-1268.4826998925134,54.38602783003034,6664.793106942469
51680.0,7107321.441522677,3210095.0542898066,1967128.6032046601,-1323.0707069158032,29.75492739977953,6649.923160914929
51690.0,7093818.618106713,3210269.619600603,2033551.467030742,-1377.4607643052145,5.165132866980926,6634.569147715045
51700.0,7079772.894855022,3210198.499170335,2099818.3814224177,-1431.6502373899193,-19.381995087792237,6618.733715196974
51710.0,7065186.290662696,3209882.1264157426,2165924.5454183766,-1485.63652056838,-43.88510835321694,6602.419509414095
51720.0,7050060.850337388,3209320.948172551,2231865.1845078124,-1539.4170368531895,-68.34287121461433,6585.629174373938
51730.0,7034398.644315447,3208515.424572368,2297635.5506087826,-1592.989237417961,-92.75396018143111,6568.365351803399
51740.0,7018201.768382556,3207466.0289213043,2363230.922044269,-1646.3506011469192,-117.1170638150942,6550.63068092372
51750.0,7001472.343398871,3206173.247580313,2428646.6035160352,-1699.4986341870456,-141.4308825567898,6532.427798235105
51760.0,6984212.515028622,3204637.5798472525,2493877.926076383,-1752.430869502675,-165.6941285559241,6513.759337311162
51770.0,6966424.453474154,3202859.53784066,2558920.247097893,-1805.1448664330712,-189.90552549851486,6494.627928602494
51780.0,6948110.353214376,3200839.6463852436,2623768.950241256,-1857.638210252639,-214.06380843625612,6475.036199249764
51790.0,6929272.432747599,3198578.442899076,2688419.4454212734,-1909.9085117341203,-238.16772361581872,6454.986772905763
51800.0,6909912.934338726,3196076.477282498,2752867.1687711272,-1961.9534067145519,-262.21602830862975,6434.482269566399
51810.0,6890034.123770765,3193334.31180872,2817107.582605004,-2013.7705556644091,-286.2074906412255,6413.525305410632
51820.0,6869638.290100635,3190352.521016117,2881136.17537916,-2065.3576432596274,-310.1408894259958,6392.118492648972
51830.0,6848727.745419241,3187131.691602213,2944948.4616515157,-2116.712377956702,-334.01501399263213,6370.2644393805795
51840.0,6827304.824615777,3183672.422319348,3008539.982039862,-2167.8324915711064,-357.8286640200733,6347.965749458662
51850.0,6805371.885146233,3179975.3238720265,3071906.3031787626,-2218.715738858777,-381.58064936905816,6325.225022364225
