time,0,1,2,3,4,5
11037.0,6332369.578372226,-317156.22275615716,1291318.1210698145,-1034.225957412846,4962.436743868276,6124.000373236495
11038.0,6331330.694009566,-312193.56927217357,1297441.1449955888,-1043.5425098124463,4962.868974964056,6122.045927473016
11039.0,6330282.493871383,-307230.4873046021,1303562.209823658,-1052.8575058663814,4963.2937109432605,6120.082178405225
11040.0,6329224.979521797,-302266.98434885364,1309681.3062524647,-1062.1709300306334,4963.710951224805,6118.109129536414
11041.0,6328158.152540462,-297303.0679008997,1315798.4249839808,-1071.4827667749853,4964.12069526658,6116.126784419896
11042.0,6327082.01452256,-292338.74545723794,1321913.5567237523,-1080.793000580161,4964.522942557801,6114.135146648896
11043.0,6325996.567078784,-287374.0245148613,1328026.6921809376,-1090.1016159383346,4964.917692619835,6112.134219857583
11044.0,6324901.811835329,-282408.9125712203,1334137.8220683567,-1099.408597358454,4965.3049450187655,6110.124007737505
11045.0,6323797.75043387,-277443.4171241717,1340246.9371025565,-1108.7139293712594,4965.684699376904,6108.104514052616
11046.0,6322684.384531538,-272477.54567192175,1346354.0280038842,-1118.017596528958,4966.0569553710375,6106.0757426368555
11047.0,6321561.715800909,-267511.3057129842,1352459.0854965409,-1127.3195833929403,4966.421712700975,6104.03769735271
11048.0,6320429.745929998,-262544.70474618045,1358562.1003085794,-1136.6198745173594,4966.778971048588,6101.990382037356
11049.0,6319288.476622272,-257577.75027066082,1364663.0631718745,-1145.9184544478805,4967.12873007526,6099.9338004993815
11050.0,6318137.909596652,-252610.44978591512,1370761.964822108,-1155.215307732942,4967.470989450244,6097.867956556091
11051.0,6316978.046587497,-247642.81079173277,1376858.7959988187,-1164.5104189486385,4967.805748911814,6095.792854113798
11052.0,6315808.889344575,-242674.84078812384,1382953.547445505,-1173.8037727044443,4968.133008280132,6093.708497184579
11053.0,6314630.439633029,-237706.5472752402,1389046.2099097262,-1183.095353639435,4968.452767446731,6091.614889872308
11054.0,6313442.699233353,-232737.93775332472,1395136.7741431678,-1192.3851464047536,4968.765026331101,6089.512036315633
11055.0,6312245.669941391,-227769.01972269692,1401225.2309016576,-1201.6731356549874,4969.069784859648,6087.3999406603625
11056.0,6311039.353568329,-222799.8006837463,1407311.5709451733,-1210.9593060487482,4969.367042967108,6085.278607061314
11057.0,6309823.751940689,-217830.28813691778,1413395.785037859,-1220.2436422551505,4969.656800611704,6083.148039702139
11058.0,6308598.866900318,-212860.48958267798,1419477.8639480686,-1229.5261289617156,4969.939057793295,6081.008242818996
11059.0,6307364.700304364,-207890.41252147185,1425557.7984484185,-1238.8067508754068,4970.213814555191,6078.859220702849
11060.0,6306121.254025257,-202920.06445367943,1431635.579315844,-1248.0854927227897,4970.481070983985,6076.700977699181
11061.0,6304868.529950692,-197949.45287957214,1437711.1973316537,-1257.3623392505006,4970.740827210365,6074.533518209018
11062.0,6303606.529983607,-192978.58529926869,1443784.6432815844,-1266.6372752254533,4970.993083409097,6072.356846688844
11063.0,6302335.256042163,-188007.4692126912,1449855.9079558572,-1275.9102854346202,4971.237839797874,6070.1709676490145
11064.0,6301054.710059726,-183036.11211952742,1455924.9821492245,-1285.18135467957,4971.475096623942,6067.975885636214
11065.0,6299764.893984856,-178064.52151921263,1461991.8566609903,-1294.4504677674984,4971.704854142854,6065.771605205649
11066.0,6298465.8097813055,-173092.70491092387,1468056.5222950166,-1303.7176095101804,4971.92711261605,6063.558130917895
11067.0,6297157.459428011,-168120.66979357292,1474118.9698597298,-1312.9827647251502,4972.141872313644,6061.335467342544
11068.0,6295839.844919088,-163148.42366579117,1480179.190168138,-1322.2459182422444,4972.349133529629,6059.103619078058
11069.0,6294512.9682638105,-158175.9740258978,1486237.1740378703,-1331.5070549095128,4972.5488965952945,6056.862590769252
11070.0,6293176.831486597,-153203.32837186157,1492292.9122912248,-1340.7661595938084,4972.741161880066,6054.612387108329
11071.0,6291831.436626988,-148230.49420126254,1498346.3957552155,-1350.0232171816835,4972.925929792903,6052.353012836616
11072.0,6290476.785739629,-143257.47901124752,1504397.615261628,-1359.278212584911,4973.103200793483,6050.084472758972
11073.0,6289112.8808942335,-138284.29029847487,1510446.5616470892,-1368.5311307441145,4973.272975399151,6047.806771752686
11074.0,6287739.724175565,-133310.93555905714,1516493.2257531388,-1377.7819566286964,4973.435254183918,6045.5199147660605
11075.0,6286357.317683402,-128337.42228850606,1522537.598426298,-1387.0306752346191,4973.590037772893,6043.223906811091
11076.0,6284965.66353252,-123363.75798169473,1528579.6705181168,-1396.2772715707063,4973.737326812296,6040.918752924521
11077.0,6283564.76385268,-118389.95013284897,1534619.4328851816,-1405.5217306495201,4973.877121949829,6038.604458142408
11078.0,6282154.620788634,-113416.00623554602,1540656.876389115,-1414.764037487543,4974.0094238352085,6036.281027500815
11079.0,6280735.236500111,-108441.93378271135,1546691.9918965765,-1424.0041771069866,4974.134233124102,6033.9484660409435
11080.0,6279306.6131618135,-103467.74026660158,1552724.7702792832,-1433.2421345484204,4974.251550504747,6031.606778843545
11081.0,6277868.752963385,-98493.43317875691,1558755.2024140675,-1442.4778948830071,4974.361376723193,6029.255971061506
11082.0,6276421.658109383,-93519.02000994202,1564783.279182952,-1451.7114432132648,4974.463712584085,6026.896047920748
11083.0,6274965.330819248,-88544.50825008837,1570808.9914732203,-1460.9427646724785,4974.558558948617,6024.527014717466
11084.0,6273499.773327275,-83569.90538824258,1576832.3301774818,-1470.1718444184678,4974.64591672077,6022.148876800248
11085.0,6272024.987882593,-78595.21891253816,1582853.2861937042,-1479.3986676206557,4974.725786819931,6019.76163953464
11086.0,6270540.976749156,-73620.4563101842,1588871.8504252264,-1488.6232194575755,4974.798170175639,6017.365308296353
11087.0,6269047.742205736,-68645.62506745478,1594888.013780768,-1497.8454851174317,4974.86306772873,6014.95988847274
11088.0,6267545.286545914,-63670.73266967661,1600901.7671744435,-1507.0654497993955,4974.920480433991,6012.545385466218
11089.0,6266033.6120780585,-58695.78660120937,1606913.1015257835,-1516.283098720187,4974.970409273699,6010.121804711734
11090.0,6264512.721125314,-53720.79434541171,1612922.007759777,-1525.4984171192796,4975.012855268063,6007.689151690188
11091.0,6262982.616025573,-48745.76338460296,1618928.4768069163,-1534.7113902592284,4975.047819475415,6005.247431928628
11092.0,6261443.299131453,-43770.70120002529,1624932.499603244,-1543.9220034256239,4975.075302991649,6002.796650999445
11093.0,6259894.772810277,-38795.61527180651,1630934.0670903972,-1553.1302419268934,4975.095306949317,6000.33681451915
11094.0,6258337.039444044,-33820.51307892449,1636933.1702156505,-1562.3360910934987,4975.107832515436,5997.867928145461
11095.0,6256770.101429417,-28845.402099173403,1642929.7999319555,-1571.539536277537,4975.112880890204,5995.38999757559
11096.0,6255193.961177692,-23870.289809130827,1648923.947197981,-1580.7405628527513,4975.110453306642,5992.9030285457275
11097.0,6253608.621114782,-18895.183684125026,1654915.602978151,-1589.93915621455,4975.10055103026,5990.407026830556
11098.0,6252014.083681195,-13920.091198202794,1660904.7582426835,-1599.1353017797153,4975.083175358112,5987.901998241985
11099.0,6250410.35133201,-8945.019824099738,1666891.4039676245,-1608.328984984539,4975.058327614771,5985.387948623933
11100.0,6248797.426536861,-3969.97703321427,1672875.5311348785,-1617.5201912837817,4975.026009149994,5982.864883849291
11101.0,6247175.311779919,1005.0297044175613,1678857.1307322376,-1626.7089061508275,4974.986221338777,5980.332809819952
11102.0,6245544.009559873,5979.992920147387,1684836.19375341,-1635.8951150778903,4974.938965581506,5977.791732466972
11103.0,6243903.522389906,10954.905146739993,1690812.7111980498,-1645.0788035762812,4974.884243304226,5975.2416577508775
11104.0,6242253.852797686,15929.758918399973,1696786.6740717876,-1654.2599571778671,4974.822055961276,5972.682591665011
11105.0,6240595.003325332,20904.546770802146,1702758.0733862661,-1663.438561437127,4974.752405039047,5970.114540240312
11106.0,6238926.9765294,25879.261241123888,1708726.9001591776,-1672.6146019314372,4974.675292056181,5967.537509545526
11107.0,6237249.774980857,30853.894868077154,1714693.145414302,-1681.7880642610287,4974.590718563132,5964.951505686578
11108.0,6235563.401265059,35828.44019194008,1720656.800181543,-1690.9589340489413,4974.498686141715,5962.3565348059465
11109.0,6233867.857981725,40802.88975458806,1726617.8554969653,-1700.127196940871,4974.399196404458,5959.752603081791
11110.0,6232163.14774492,45777.23609952332,1732576.3024028281,-1709.2928386039007,4974.292250991789,5957.139716724278
11111.0,6230449.273183031,50751.47177190116,1738532.131947615,-1718.4558447252507,4974.177851569301,5954.517881972048
11112.0,6228726.236938748,55725.58931855495,1744485.3351860621,-1727.6162010122853,4974.055999827518,5951.887105091871
11113.0,6226994.041669042,60699.58128802105,1750435.9031791869,-1736.7738931926515,4973.926697481914,5949.247392378637
11114.0,6225252.690045148,65673.44023056378,1756383.8269943153,-1745.9289070144134,4973.789946272928,5946.598750155343
11115.0,6223502.1847525425,70647.15869820038,1762329.0977051104,-1755.0812282461916,4973.6457479659875,5943.941184773074
11116.0,6221742.528490922,75620.72924472624,1768271.7063916011,-1764.2308426776833,4973.494104352228,5941.2747026119
